iter	RMSE
0	0.745558301
1	0.7443795487
2	0.7434701927
3	0.7426664486
4	0.7419590004
5	0.7412884761
6	0.7407091539
7	0.7402313347
8	0.7397444546
9	0.739353672
10	0.7390002026
11	0.7386445525
12	0.7383136503
13	0.7380324028
14	0.7377037673
15	0.7374010364
16	0.7371511489
17	0.7368990655
18	0.736641561
19	0.7364034858
20	0.7360447306
21	0.7357302544
22	0.7355257735
23	0.7353279493
24	0.7350945703
25	0.734888138
26	0.7347179723
27	0.7345325931
28	0.7343249335
29	0.7341762743
30	0.7340236554
31	0.7338820291
32	0.7337289496
33	0.7335839385
34	0.7334419797
35	0.7332847578
36	0.7330048736
37	0.7328320485
38	0.7326932948
39	0.7325748554
40	0.7324627554
41	0.7323631945
42	0.7321732378
43	0.7319769456
44	0.7318639794
45	0.7317791003
46	0.7316409428
47	0.7315524343
48	0.7314682417
49	0.7313785151
50	0.7312998213
51	0.7312058641
52	0.7310808491
53	0.7309952041
54	0.7308747031
55	0.7308162897
56	0.7307328758
57	0.7306329438
58	0.7305516328
59	0.7304277687
60	0.7303492218
61	0.7302258655
62	0.7300494501
63	0.7299686097
64	0.7298225747
65	0.7297276374
66	0.7296768204
67	0.7296280919
68	0.7295547635
69	0.7295047088
70	0.7294375745
71	0.7293781483
72	0.7293007927
73	0.7292004221
74	0.7291463823
75	0.7290981409
76	0.7290122711
77	0.7288990666
78	0.7288474049
79	0.7287884067
80	0.7287346523
81	0.7286626652
82	0.728577367
83	0.7284870305
84	0.7284352625
85	0.7283875508
86	0.7283190354
87	0.7282762119
88	0.7282176357
89	0.7281434443
90	0.7280784965
91	0.7280331667
92	0.7279649402
93	0.7278972549
94	0.7278185585
95	0.7277151952
96	0.7276586471
97	0.7275539178
98	0.727508502
99	0.7274641596
100	0.727393988
101	0.7273490438
102	0.7272653937
103	0.7271893368
104	0.7271483416
105	0.7271041809
106	0.7270571292
107	0.7270228511
108	0.7269885605
109	0.7269265481
110	0.7268526918
111	0.7267945949
112	0.7267528743
113	0.7267122789
114	0.7266172931
115	0.7265562026
116	0.7264427519
117	0.7263821819
118	0.7263107935
119	0.7262392356
120	0.7261847372
121	0.7261279996
122	0.7260905807
123	0.7260445141
124	0.7259999622
125	0.7259429542
126	0.7258877361
127	0.7258452139
128	0.725788191
129	0.7257293381
130	0.7256659921
131	0.7256085816
132	0.7255533937
133	0.7254747606
134	0.7254203322
135	0.7253626134
136	0.7252791473
137	0.7252065368
138	0.7251574796
139	0.7251120122
140	0.7250284832
141	0.7249503813
142	0.7249003961
143	0.724815415
144	0.7247645306
145	0.7247007925
146	0.7246405101
147	0.724597678
148	0.7245410612
149	0.724499457
150	0.7244392336
151	0.7243972333
152	0.7243516475
153	0.7242966007
154	0.7242428896
155	0.7241837679
156	0.7241222594
157	0.7240654191
158	0.724023813
159	0.7239782425
160	0.7239094118
161	0.7238651844
162	0.7237772953
163	0.7237247902
164	0.7236849179
165	0.7236423077
166	0.7235837392
167	0.7235129828
168	0.7234778907
169	0.7234267454
170	0.7233622512
171	0.7233043976
172	0.7232706481
173	0.7231997687
174	0.7231657727
175	0.7231311277
176	0.7230890075
177	0.7230396512
178	0.7229927259
179	0.7229301262
180	0.7228796266
181	0.7228250236
182	0.7227683734
183	0.7227147662
184	0.7226641641
185	0.7226158765
186	0.7225738258
187	0.7225405448
188	0.7224657418
189	0.7224095312
190	0.7223764585
191	0.7223191986
192	0.7222619086
193	0.7222128825
194	0.7221585157
195	0.7221119644
196	0.7220556759
197	0.7220037974
198	0.7219557176
199	0.721913252
200	0.7218772836
201	0.7218369293
202	0.7217943282
203	0.7217527481
204	0.7217112361
205	0.7216544158
206	0.7216274617
207	0.7215992668
208	0.7215398115
209	0.7214914058
210	0.7214448936
211	0.7213936018
212	0.7213529564
213	0.7213001477
214	0.7212674908
215	0.7212129338
216	0.7211605378
217	0.7211195917
218	0.7210778782
219	0.7210390474
220	0.7210067161
221	0.7209652477
222	0.7209156939
223	0.7208701407
224	0.7208374633
225	0.7207974813
226	0.7207448199
227	0.7207058572
228	0.7206633481
229	0.7206239663
230	0.7205752947
231	0.7205405785
232	0.72051457
233	0.7204808367
234	0.7204350738
235	0.7204067038
236	0.7203673187
237	0.7203026692
238	0.7202704752
239	0.7202301168
240	0.7201944647
241	0.7201581604
242	0.7201135819
243	0.7200809428
244	0.7200419984
245	0.7200081731
246	0.7199749238
247	0.7199296217
248	0.7198986231
249	0.7198516933
250	0.7198120445
251	0.7197715966
252	0.7197358786
253	0.7196936469
254	0.7196592204
255	0.7196245957
256	0.7195964507
257	0.7195539596
258	0.7195165239
259	0.7194886227
260	0.7194534631
261	0.7194043567
262	0.719370261
263	0.7193281163
264	0.7192847862
265	0.7192559769
266	0.7192246029
267	0.719188925
268	0.7191516696
269	0.7191192591
270	0.719082773
271	0.7190467066
272	0.719017
273	0.7189796966
274	0.7189344876
275	0.718888717
276	0.7188584611
277	0.7188154068
278	0.718787366
279	0.7187549244
280	0.7187155172
281	0.718687618
282	0.718655107
283	0.7186177307
284	0.7185651488
285	0.7185319023
286	0.7184905261
287	0.718461428
288	0.7184250987
289	0.7183976008
290	0.7183569979
291	0.7183008853
292	0.7182661111
293	0.718227388
294	0.7181929659
295	0.7181402711
296	0.7180994389
297	0.7180679785
298	0.7180277514
299	0.717987318
300	0.7179436133
301	0.7179151042
302	0.7178832775
303	0.7178435828
304	0.7178130589
305	0.7177786692
306	0.7177522305
307	0.7177243373
308	0.717690784
309	0.7176625469
310	0.7176278018
311	0.7175908647
312	0.7175469255
313	0.7175237251
314	0.7174922103
315	0.717470686
316	0.7174419689
317	0.7174098132
318	0.7173763705
319	0.7173252543
320	0.7172909998
321	0.7172629388
322	0.7172279083
323	0.7172065549
324	0.7171700177
325	0.7171330663
326	0.7171006766
327	0.7170677948
328	0.7170302289
329	0.7169989083
330	0.7169663038
331	0.7169293045
332	0.7168934708
333	0.7168612596
334	0.7168340634
335	0.7168047778
336	0.7167771869
337	0.7167494422
338	0.7167168835
339	0.7166844457
340	0.7166481696
341	0.716612939
342	0.7165835898
343	0.7165481217
344	0.7165137518
345	0.7164797165
346	0.7164518318
347	0.7164173232
348	0.7163803158
349	0.7163503526
350	0.7163245152
351	0.7162972513
352	0.716258767
353	0.7162275682
354	0.7161910082
355	0.7161607081
356	0.7161362585
357	0.7160897657
358	0.7160446392
359	0.7160208425
360	0.7159849784
361	0.7159500111
362	0.7159178365
363	0.7158877153
364	0.7158552317
365	0.7158170501
366	0.7157920071
367	0.7157601207
368	0.7157331271
369	0.7157052207
370	0.7156835102
371	0.7156562677
372	0.7156337588
373	0.7155984313
374	0.7155660773
375	0.7155355895
376	0.7155018847
377	0.7154651664
378	0.715439877
379	0.7154093024
380	0.715382196
381	0.7153446343
382	0.7153149576
383	0.7152824292
384	0.7152601788
385	0.715237256
386	0.7152103295
387	0.7151782503
388	0.7151426252
389	0.7151148201
390	0.7150858789
391	0.7150560417
392	0.7150273029
393	0.7150033538
394	0.7149784983
395	0.7149501328
396	0.7149214481
397	0.7148935885
398	0.7148718708
399	0.7148466042
400	0.7148102316
401	0.7147893585
402	0.7147442441
403	0.714717854
404	0.7146906717
405	0.7146596475
406	0.7146293822
407	0.7146038193
408	0.7145747348
409	0.7145436818
410	0.7145113619
411	0.7144830705
412	0.7144481681
413	0.7144058643
414	0.7143820177
415	0.7143508622
416	0.7143065034
417	0.7142827607
418	0.7142476522
419	0.7142207146
420	0.7141868181
421	0.7141654243
422	0.7141420557
423	0.7141138859
424	0.7140873039
425	0.7140572214
426	0.7140327866
427	0.714004825
428	0.7139794325
429	0.7139489859
430	0.713919614
431	0.7138963603
432	0.7138638113
433	0.7138334749
434	0.7138019702
435	0.7137769226
436	0.7137490225
437	0.7137195737
438	0.7136964357
439	0.7136601133
440	0.7136385002
441	0.713606954
442	0.7135799928
443	0.7135485147
444	0.7135211655
445	0.7134930041
446	0.7134638921
447	0.7134332948
448	0.7134165453
449	0.7133760497
450	0.7133475159
451	0.7133185213
452	0.7132882059
453	0.7132677404
454	0.713243303
455	0.7132141595
456	0.7131837343
457	0.7131559325
458	0.713128757
459	0.7130962389
460	0.7130578935
461	0.7130232078
462	0.7129960696
463	0.7129729678
464	0.7129435105
465	0.7129133464
466	0.7128830818
467	0.7128513847
468	0.7128217856
469	0.7127870574
470	0.71275612
471	0.7127279315
472	0.7127035831
473	0.7126713952
474	0.7126439875
475	0.7126100701
476	0.712575987
477	0.7125474823
478	0.7125221498
479	0.7124956177
480	0.7124676055
481	0.7124419459
482	0.7124200348
483	0.7123873024
484	0.7123588242
485	0.7123358643
486	0.712303083
487	0.7122725473
488	0.7122455676
489	0.712216565
490	0.7121918482
491	0.7121623514
492	0.7121364792
493	0.7121031139
494	0.7120764289
495	0.7120527213
496	0.7120241965
497	0.7119989446
498	0.7119659508
499	0.711937213
500	0.7119073241
501	0.7118785858
502	0.7118538677
503	0.7118328216
504	0.7117987851
505	0.7117621532
506	0.7117360668
507	0.711704375
508	0.7116751622
509	0.7116439617
510	0.7116147882
511	0.7115858342
512	0.7115531601
513	0.7115281104
514	0.7115010981
515	0.7114738379
516	0.7114441264
517	0.7114060166
518	0.7113722312
519	0.7113407523
520	0.7113084198
521	0.7112789477
522	0.7112530139
523	0.711232296
524	0.7112018093
525	0.7111639068
526	0.7111386242
527	0.7111146591
528	0.7110859218
529	0.7110613086
530	0.711029303
531	0.711001404
532	0.7109710528
533	0.7109471048
534	0.7109180989
535	0.7108897362
536	0.7108657425
537	0.710833517
538	0.7108089441
539	0.7107741081
540	0.710746422
541	0.7107183861
542	0.7106927758
543	0.7106649332
544	0.7106491091
545	0.7106177892
546	0.7105838735
547	0.7105544399
548	0.7105261539
549	0.7104998905
550	0.7104715452
551	0.7104410146
552	0.7104139444
553	0.7103851673
554	0.7103581781
555	0.7103297521
556	0.7103073547
557	0.7102856373
558	0.7102582013
559	0.7102299081
560	0.7102020701
561	0.7101695214
562	0.7101514295
563	0.7101270041
564	0.7100963694
565	0.7100675426
566	0.7100423943
567	0.7100051923
568	0.7099796495
569	0.7099578129
570	0.7099310025
571	0.7099120748
572	0.7098829842
573	0.7098484471
574	0.7098125112
575	0.7097904969
576	0.7097574032
577	0.709730352
578	0.7096944614
579	0.7096616533
580	0.7096319202
581	0.7096031496
582	0.7095797881
583	0.7095511353
584	0.7095173792
585	0.7095008937
586	0.7094744274
587	0.7094456148
588	0.7094191675
589	0.7093938692
590	0.7093625335
591	0.7093305201
592	0.7092973119
593	0.7092688878
594	0.7092404675
595	0.7092142238
596	0.7091943918
597	0.7091676618
598	0.7091448265
599	0.7091144889
600	0.709095885
601	0.7090681773
602	0.709046423
603	0.7090224723
604	0.7089918871
605	0.7089645646
606	0.7089428465
607	0.7089176381
608	0.7088932182
609	0.7088666655
610	0.7088443371
611	0.7088168616
612	0.7087928096
613	0.7087639801
614	0.7087358269
615	0.7087110947
616	0.708688016
617	0.70866321
618	0.7086316889
619	0.7086075368
620	0.708582016
621	0.7085486717
622	0.7085288522
623	0.7085122352
624	0.7084816946
625	0.7084601284
626	0.7084280064
627	0.708399719
628	0.7083766486
629	0.7083539616
630	0.7083355173
631	0.7083088434
632	0.7082829198
633	0.7082568071
634	0.7082333607
635	0.7082130758
636	0.7081822763
637	0.7081543247
638	0.7081320141
639	0.7081099384
640	0.7080861307
641	0.7080603506
642	0.7080329207
643	0.7080045447
644	0.7079749343
645	0.7079544484
646	0.7079306263
647	0.707906093
648	0.7078818262
649	0.7078513457
650	0.7078284936
651	0.7077994428
652	0.7077784475
653	0.7077503746
654	0.7077260114
655	0.707697881
656	0.7076746251
657	0.7076444083
658	0.7076184376
659	0.7075942362
660	0.7075671468
661	0.7075459973
662	0.7075191354
663	0.7074943906
664	0.7074691407
665	0.7074456695
666	0.7074237857
667	0.7074079435
668	0.7073915133
669	0.7073675411
670	0.7073409842
671	0.7073144138
672	0.707290832
673	0.7072644752
674	0.70723724
675	0.7072072227
676	0.7071850682
677	0.7071638903
678	0.7071387799
679	0.7071091551
680	0.7070881886
681	0.707066736
682	0.7070441742
683	0.7070231439
684	0.7069956193
685	0.7069737961
686	0.7069450443
687	0.706913387
688	0.7068800954
689	0.7068482592
690	0.7068275581
691	0.7068021533
692	0.7067745965
693	0.7067518741
694	0.7067291534
695	0.7067101494
696	0.7066826391
697	0.7066561106
698	0.7066320322
699	0.7066033311
700	0.7065698363
701	0.7065471331
702	0.7065178841
703	0.70648349
704	0.7064623432
705	0.7064387014
706	0.7064172229
707	0.7063924845
708	0.7063638124
709	0.7063385222
710	0.7063143469
711	0.7062857565
712	0.7062532982
713	0.7062328707
714	0.7062070897
715	0.706179708
716	0.7061528369
717	0.7061249884
718	0.7060963663
719	0.7060645934
720	0.7060365458
721	0.7060087916
722	0.7059731498
723	0.705947873
724	0.7059203242
