iter	Passed	Remaining
0	95	95858
1	144	72003
2	184	61352
3	218	54366
4	255	50751
5	282	46768
6	315	44744
7	351	43641
8	387	42708
9	426	42248
10	457	41108
11	496	40840
12	535	40622
13	574	40478
14	610	40105
15	645	39669
16	675	39064
17	713	38902
18	747	38586
19	780	38235
20	815	38015
21	852	37907
22	887	37688
23	920	37413
24	957	37346
25	1000	37467
26	1035	37331
27	1070	37176
28	1106	37055
29	1142	36952
30	1179	36884
31	1212	36684
32	1250	36636
33	1278	36329
34	1314	36241
35	1346	36053
36	1375	35802
37	1409	35677
38	1444	35597
39	1479	35498
40	1521	35597
41	1558	35541
42	1599	35591
43	1637	35567
44	1676	35587
45	1710	35479
46	1747	35435
47	1777	35260
48	1809	35110
49	1841	34982
50	1868	34766
51	1903	34699
52	1940	34671
53	1975	34606
54	2022	34744
55	2051	34583
56	2087	34533
57	2122	34477
58	2154	34360
59	2187	34276
60	2222	34211
61	2260	34193
62	2297	34177
63	2332	34106
64	2360	33952
65	2395	33894
66	2426	33786
67	2453	33630
68	2489	33588
69	2526	33564
70	2557	33465
71	2592	33418
72	2624	33327
73	2664	33347
74	2699	33289
75	2734	33250
76	2768	33183
77	2806	33171
78	2841	33129
79	2868	32987
80	2906	32971
81	2938	32900
82	2977	32892
83	3013	32856
84	3053	32872
85	3088	32829
86	3121	32755
87	3152	32672
88	3185	32603
89	3220	32561
90	3256	32528
91	3290	32472
92	3326	32444
93	3359	32375
94	3400	32390
95	3436	32355
96	3472	32326
97	3510	32306
98	3548	32292
99	3585	32272
100	3620	32229
101	3652	32153
102	3687	32110
103	3722	32070
104	3755	32015
105	3793	31995
106	3828	31955
107	3856	31853
108	3877	31697
109	3911	31645
110	3949	31630
111	3984	31587
112	4015	31520
113	4048	31465
114	4088	31461
115	4125	31442
116	4167	31449
117	4200	31398
118	4235	31356
119	4269	31313
120	4303	31262
121	4333	31186
122	4371	31169
123	4403	31110
124	4438	31071
125	4477	31056
126	4509	30998
127	4538	30918
128	4577	30905
129	4611	30861
130	4645	30817
131	4675	30743
132	4709	30701
133	4762	30778
134	4801	30764
135	4836	30724
136	4873	30699
137	4901	30619
138	4937	30582
139	4974	30560
140	5011	30530
141	5041	30464
142	5071	30394
143	5116	30416
144	5147	30354
145	5179	30295
146	5212	30248
147	5245	30198
148	5281	30164
149	5314	30114
150	5348	30069
151	5376	29996
152	5407	29935
153	5444	29906
154	5477	29863
155	5512	29826
156	5553	29821
157	5600	29844
158	5649	29882
159	5690	29873
160	5741	29920
161	5793	29969
162	5838	29978
163	5876	29956
164	5906	29888
165	5927	29780
166	5963	29747
167	6000	29716
168	6029	29646
169	6064	29608
170	6096	29553
171	6134	29529
172	6170	29496
173	6208	29474
174	6243	29435
175	6273	29370
176	6307	29328
177	6346	29308
178	6380	29263
179	6411	29209
180	6439	29138
181	6474	29097
182	6504	29040
183	6534	28979
184	6567	28933
185	6609	28927
186	6649	28910
187	6681	28859
188	6723	28849
189	6756	28803
190	6786	28746
191	6825	28724
192	6866	28711
193	6902	28677
194	6934	28625
195	6963	28564
196	7006	28559
197	7037	28506
198	7076	28483
199	7108	28435
200	7149	28418
201	7185	28385
202	7219	28343
203	7252	28299
204	7286	28259
205	7330	28256
206	7360	28199
207	7390	28142
208	7421	28087
209	7461	28068
210	7500	28048
211	7537	28016
212	7577	27998
213	7608	27944
214	7645	27915
215	7702	27958
216	7742	27938
